Time,Value
2021-08-23T16:23:08.225757Z,23
2021-08-23T16:23:08.617229Z,23
2021-08-23T16:23:09.017744Z,23
2021-08-23T16:23:09.493396Z,24
2021-08-23T16:23:09.892447Z,22
2021-08-23T16:23:10.415204Z,23
2021-08-23T16:23:10.907824Z,28
2021-08-23T16:23:11.305902Z,25
2021-08-23T16:23:11.682768Z,28
2021-08-23T16:23:12.060467Z,28
2021-08-23T16:23:12.418093Z,23
2021-08-23T16:23:12.806864Z,22
2021-08-23T16:23:13.2168Z,22
2021-08-23T16:23:13.595594Z,22
2021-08-23T16:23:13.989935Z,22
2021-08-23T16:23:14.401999Z,21
2021-08-23T16:23:14.78654Z,22
2021-08-23T16:23:15.176312Z,21
2021-08-23T16:23:15.569298Z,21
2021-08-23T16:23:16.065814Z,25
2021-08-23T16:23:16.494297Z,25
2021-08-23T16:23:16.870582Z,25
2021-08-23T16:23:17.303671Z,24
2021-08-23T16:23:17.687528Z,27
2021-08-23T16:23:18.066942Z,27
2021-08-23T16:23:18.441874Z,26
2021-08-23T16:23:18.843823Z,27
2021-08-23T16:23:19.248716Z,27
2021-08-23T16:23:19.636945Z,26
2021-08-23T16:23:20.011047Z,25
2021-08-23T16:23:20.408054Z,25
2021-08-23T16:23:20.78446Z,24
2021-08-23T16:23:21.406459Z,24
2021-08-23T16:23:21.891285Z,23
2021-08-23T16:23:22.50523Z,24
2021-08-23T16:23:23.130753Z,23
2021-08-23T16:23:23.536262Z,25
2021-08-23T16:23:24.195985Z,26
2021-08-23T16:23:24.705474Z,24
2021-08-23T16:23:25.07206Z,24
2021-08-23T16:23:25.475761Z,24
2021-08-23T16:23:25.877185Z,24
2021-08-23T16:23:26.271213Z,24
2021-08-23T16:23:26.641208Z,24
2021-08-23T16:23:27.041789Z,24
2021-08-23T16:23:27.420715Z,24
2021-08-23T16:23:27.801271Z,22
2021-08-23T16:23:28.220599Z,23
2021-08-23T16:23:28.58557Z,24
2021-08-23T16:23:28.947333Z,23
2021-08-23T16:23:29.345329Z,35
2021-08-23T16:23:29.737997Z,39
2021-08-23T16:23:30.117088Z,43
2021-08-23T16:23:30.505297Z,40
2021-08-23T16:23:30.872735Z,58
2021-08-23T16:23:31.257752Z,68
2021-08-23T16:23:31.625199Z,83
2021-08-23T16:23:32.021241Z,91
2021-08-23T16:23:32.418436Z,98
2021-08-23T16:23:32.806713Z,113
2021-08-23T16:23:33.215574Z,103
2021-08-23T16:23:33.632608Z,103
2021-08-23T16:23:34.030483Z,95
2021-08-23T16:23:34.394289Z,78
2021-08-23T16:23:34.771975Z,65
2021-08-23T16:23:35.202246Z,58
2021-08-23T16:23:35.584219Z,54
2021-08-23T16:23:36.106995Z,52
2021-08-23T16:23:36.540868Z,47
2021-08-23T16:23:37.33844Z,45
2021-08-23T16:23:37.76447Z,43
2021-08-23T16:23:38.15199Z,43
2021-08-23T16:23:38.550131Z,42
2021-08-23T16:23:38.939589Z,42
2021-08-23T16:23:39.324792Z,40
2021-08-23T16:23:39.719255Z,40
2021-08-23T16:23:40.097675Z,40
2021-08-23T16:23:40.504213Z,40
2021-08-23T16:23:40.92906Z,39
2021-08-23T16:23:41.330499Z,39
2021-08-23T16:23:41.831015Z,39
2021-08-23T16:23:42.271851Z,38
2021-08-23T16:23:42.681514Z,38
2021-08-23T16:23:43.075702Z,38
2021-08-23T16:23:43.505023Z,37
2021-08-23T16:23:43.876979Z,37
2021-08-23T16:23:44.29151Z,35
2021-08-23T16:23:44.674454Z,37
2021-08-23T16:23:45.082742Z,38
2021-08-23T16:23:45.460159Z,39
2021-08-23T16:23:45.866374Z,42
2021-08-23T16:23:46.249597Z,44
2021-08-23T16:23:46.626185Z,45
2021-08-23T16:23:46.999955Z,44
2021-08-23T16:23:47.385908Z,42
2021-08-23T16:23:47.775661Z,42
2021-08-23T16:23:48.143054Z,42
2021-08-23T16:23:48.557966Z,41
2021-08-23T16:23:48.983747Z,41
2021-08-23T16:23:49.375899Z,39
2021-08-23T16:23:49.744469Z,41
2021-08-23T16:23:50.138016Z,42
2021-08-23T16:23:50.551641Z,45
2021-08-23T16:23:50.965217Z,43
2021-08-23T16:23:51.33522Z,43
2021-08-23T16:23:51.746093Z,46
2021-08-23T16:23:52.214396Z,47
2021-08-23T16:23:52.630236Z,50
2021-08-23T16:23:53.011288Z,51
2021-08-23T16:23:53.535019Z,51
2021-08-23T16:23:53.894376Z,53
2021-08-23T16:23:54.261232Z,52
2021-08-23T16:23:54.684671Z,57
2021-08-23T16:23:55.071353Z,58
2021-08-23T16:23:55.470654Z,58
2021-08-23T16:23:55.839408Z,58
2021-08-23T16:23:56.209131Z,57
2021-08-23T16:23:56.596061Z,58
2021-08-23T16:23:56.973084Z,59
2021-08-23T16:23:57.379209Z,55
2021-08-23T16:23:57.879732Z,53
2021-08-23T16:23:58.287856Z,51
2021-08-23T16:23:58.696918Z,52
2021-08-23T16:23:59.090501Z,54
2021-08-23T16:23:59.496114Z,54
2021-08-23T16:23:59.896293Z,54
2021-08-23T16:24:00.270303Z,53
2021-08-23T16:24:00.739552Z,51
2021-08-23T16:24:01.115876Z,52
2021-08-23T16:24:01.476092Z,55
2021-08-23T16:24:01.845461Z,55
2021-08-23T16:24:02.229742Z,55
2021-08-23T16:24:02.623673Z,55
2021-08-23T16:24:03.031213Z,55
2021-08-23T16:24:03.417011Z,56
2021-08-23T16:24:03.851698Z,58
2021-08-23T16:24:04.23562Z,58
2021-08-23T16:24:04.659476Z,57
2021-08-23T16:24:05.029564Z,56
2021-08-23T16:24:05.434209Z,57
2021-08-23T16:24:05.81622Z,57
2021-08-23T16:24:06.240035Z,57
2021-08-23T16:24:06.625941Z,57
2021-08-23T16:24:07.027592Z,58
2021-08-23T16:24:07.394276Z,55
2021-08-23T16:24:07.772069Z,53
2021-08-23T16:24:08.151828Z,54
2021-08-23T16:24:08.515048Z,58
2021-08-23T16:24:08.93648Z,55
2021-08-23T16:24:09.319327Z,55
2021-08-23T16:24:09.777237Z,58
2021-08-23T16:24:10.175936Z,59
2021-08-23T16:24:10.617102Z,60
2021-08-23T16:24:11.037372Z,59
2021-08-23T16:24:11.501976Z,58
2021-08-23T16:24:11.913942Z,57
2021-08-23T16:24:12.392604Z,58
2021-08-23T16:24:12.834132Z,56
2021-08-23T16:24:13.26943Z,55
2021-08-23T16:24:13.632569Z,54
2021-08-23T16:24:14.04712Z,53
2021-08-23T16:24:14.42642Z,53
2021-08-23T16:24:14.906131Z,52
2021-08-23T16:24:15.274812Z,51
2021-08-23T16:24:15.686799Z,50
2021-08-23T16:24:16.063307Z,49
2021-08-23T16:24:16.448625Z,48
2021-08-23T16:24:16.848559Z,45
2021-08-23T16:24:17.235711Z,42
2021-08-23T16:24:17.595383Z,41
2021-08-23T16:24:17.95821Z,38
2021-08-23T16:24:18.358015Z,38
2021-08-23T16:24:18.72398Z,37
2021-08-23T16:24:19.130528Z,36
2021-08-23T16:24:19.528773Z,35
2021-08-23T16:24:19.924673Z,34
2021-08-23T16:24:20.302024Z,34
2021-08-23T16:24:20.714475Z,33
2021-08-23T16:24:21.111396Z,33
2021-08-23T16:24:21.740235Z,69
2021-08-23T16:24:22.147826Z,96
2021-08-23T16:24:22.680238Z,88
2021-08-23T16:24:23.049066Z,94
2021-08-23T16:24:23.684573Z,98
2021-08-23T16:24:24.396073Z,87
2021-08-23T16:24:24.851103Z,78
2021-08-23T16:24:25.323321Z,67
2021-08-23T16:24:25.729783Z,62
2021-08-23T16:24:26.13888Z,56
2021-08-23T16:24:26.533313Z,53
2021-08-23T16:24:26.935916Z,50
2021-08-23T16:24:27.455996Z,49
2021-08-23T16:24:27.862871Z,49
2021-08-23T16:24:28.280513Z,46
2021-08-23T16:24:28.691461Z,46
2021-08-23T16:24:29.083207Z,47
2021-08-23T16:24:29.522149Z,46
2021-08-23T16:24:29.901237Z,44
2021-08-23T16:24:30.305122Z,43
2021-08-23T16:24:30.681478Z,41
2021-08-23T16:24:31.074246Z,40
2021-08-23T16:24:31.552023Z,39
2021-08-23T16:24:31.947982Z,42
2021-08-23T16:24:32.347447Z,45
2021-08-23T16:24:32.759088Z,48
2021-08-23T16:24:33.155486Z,51
2021-08-23T16:24:33.561704Z,53
2021-08-23T16:24:33.938499Z,54
2021-08-23T16:24:34.385945Z,53
2021-08-23T16:24:34.794713Z,52
2021-08-23T16:24:35.182464Z,51
2021-08-23T16:24:35.567784Z,53
2021-08-23T16:24:35.957446Z,55
2021-08-23T16:24:36.34166Z,55
2021-08-23T16:24:36.729037Z,54
2021-08-23T16:24:37.101433Z,53
2021-08-23T16:24:37.476799Z,54
2021-08-23T16:24:37.899412Z,51
2021-08-23T16:24:38.295656Z,50
2021-08-23T16:24:38.674155Z,49
2021-08-23T16:24:39.052888Z,55
2021-08-23T16:24:39.455777Z,48
2021-08-23T16:24:39.863883Z,47
2021-08-23T16:24:40.275631Z,46
2021-08-23T16:24:40.649236Z,44
2021-08-23T16:24:41.091378Z,46
2021-08-23T16:24:41.535564Z,50
2021-08-23T16:24:41.960551Z,53
2021-08-23T16:24:42.354411Z,54
2021-08-23T16:24:42.732156Z,54
2021-08-23T16:24:43.13244Z,53
2021-08-23T16:24:43.504947Z,54
2021-08-23T16:24:43.870895Z,53
2021-08-23T16:24:44.314389Z,52
2021-08-23T16:24:44.743838Z,51
2021-08-23T16:24:45.132023Z,51
2021-08-23T16:24:45.56786Z,52
2021-08-23T16:24:46.010842Z,52
2021-08-23T16:24:46.390535Z,53
2021-08-23T16:24:46.787947Z,57
2021-08-23T16:24:47.184142Z,60
2021-08-23T16:24:47.587552Z,58
2021-08-23T16:24:48.010623Z,56
2021-08-23T16:24:48.416738Z,57
2021-08-23T16:24:48.784784Z,58
2021-08-23T16:24:49.187325Z,59
2021-08-23T16:24:49.583205Z,58
2021-08-23T16:24:50.019947Z,56
2021-08-23T16:24:50.383677Z,58
2021-08-23T16:24:50.817878Z,58
2021-08-23T16:24:51.181878Z,57
2021-08-23T16:24:51.557218Z,56
2021-08-23T16:24:51.999997Z,55
2021-08-23T16:24:52.390221Z,52
2021-08-23T16:24:52.796331Z,51
2021-08-23T16:24:53.17762Z,49
2021-08-23T16:24:53.580311Z,47
2021-08-23T16:24:53.944164Z,46
2021-08-23T16:24:54.343542Z,46
2021-08-23T16:24:54.749349Z,45
2021-08-23T16:24:55.136203Z,44
2021-08-23T16:24:55.542877Z,42
2021-08-23T16:24:55.926671Z,40
2021-08-23T16:24:56.295483Z,40
2021-08-23T16:24:56.720865Z,39
2021-08-23T16:24:57.12555Z,39
2021-08-23T16:24:57.526006Z,38
2021-08-23T16:24:57.915338Z,37
2021-08-23T16:24:58.2868Z,37
2021-08-23T16:24:58.705851Z,35
2021-08-23T16:24:59.07914Z,33
2021-08-23T16:24:59.47339Z,34
2021-08-23T16:24:59.868638Z,32
2021-08-23T16:25:00.230248Z,33
2021-08-23T16:25:00.677342Z,31
2021-08-23T16:25:01.046051Z,31
2021-08-23T16:25:01.465695Z,31
2021-08-23T16:25:01.843339Z,30
2021-08-23T16:25:02.271318Z,29
2021-08-23T16:25:02.688314Z,39
2021-08-23T16:25:03.095615Z,44
2021-08-23T16:25:03.520839Z,46
2021-08-23T16:25:03.900463Z,46
2021-08-23T16:25:04.286764Z,45
2021-08-23T16:25:04.690173Z,42
2021-08-23T16:25:05.070243Z,41
2021-08-23T16:25:05.482253Z,41
2021-08-23T16:25:05.876977Z,43
2021-08-23T16:25:06.286147Z,45
2021-08-23T16:25:06.674412Z,45
2021-08-23T16:25:07.081694Z,44
2021-08-23T16:25:07.456736Z,42
2021-08-23T16:25:07.857017Z,39
2021-08-23T16:25:08.238441Z,37
2021-08-23T16:25:08.65544Z,36
2021-08-23T16:25:09.060534Z,36
2021-08-23T16:25:09.463283Z,35
2021-08-23T16:25:09.932745Z,34
2021-08-23T16:25:10.325586Z,34
2021-08-23T16:25:10.719468Z,34
2021-08-23T16:25:11.084214Z,35
2021-08-23T16:25:11.457118Z,35
2021-08-23T16:25:11.829937Z,33
2021-08-23T16:25:12.218845Z,35
2021-08-23T16:25:12.618271Z,33
2021-08-23T16:25:12.991661Z,32
2021-08-23T16:25:13.36925Z,32
2021-08-23T16:25:13.764846Z,33
2021-08-23T16:25:14.146968Z,33
2021-08-23T16:25:14.565827Z,32
2021-08-23T16:25:14.982225Z,32
2021-08-23T16:25:15.377126Z,31
2021-08-23T16:25:15.777326Z,31
2021-08-23T16:25:16.168961Z,31
2021-08-23T16:25:16.587705Z,30
2021-08-23T16:25:17.017541Z,31
2021-08-23T16:25:17.39203Z,30
2021-08-23T16:25:17.774693Z,30
2021-08-23T16:25:18.153406Z,31
2021-08-23T16:25:18.571957Z,33
2021-08-23T16:25:18.953912Z,33
2021-08-23T16:25:19.347346Z,33
2021-08-23T16:25:19.712437Z,32
2021-08-23T16:25:20.184617Z,31
2021-08-23T16:25:20.590169Z,31
2021-08-23T16:25:20.984787Z,31
2021-08-23T16:25:21.513307Z,31
2021-08-23T16:25:21.906828Z,30
2021-08-23T16:25:22.55924Z,30
2021-08-23T16:25:23.029101Z,29
2021-08-23T16:25:23.426411Z,31
2021-08-23T16:25:23.971083Z,31
2021-08-23T16:25:24.497994Z,30
2021-08-23T16:25:24.898862Z,30
2021-08-23T16:25:25.291012Z,30
2021-08-23T16:25:25.685218Z,30
2021-08-23T16:25:26.079357Z,30
2021-08-23T16:25:26.479353Z,35
2021-08-23T16:25:26.901632Z,31
2021-08-23T16:25:27.317119Z,31
2021-08-23T16:25:27.73619Z,32
2021-08-23T16:25:28.13222Z,32
2021-08-23T16:25:28.572401Z,31
2021-08-23T16:25:28.996782Z,30
2021-08-23T16:25:29.424167Z,29
2021-08-23T16:25:29.815641Z,29
2021-08-23T16:25:30.216702Z,32
2021-08-23T16:25:30.634017Z,37
2021-08-23T16:25:31.042327Z,40
2021-08-23T16:25:31.430246Z,41
2021-08-23T16:25:31.796167Z,42
2021-08-23T16:25:32.161269Z,41
2021-08-23T16:25:32.547251Z,43
2021-08-23T16:25:32.965961Z,45
2021-08-23T16:25:33.374263Z,44
2021-08-23T16:25:33.773684Z,43
2021-08-23T16:25:34.156759Z,41
2021-08-23T16:25:34.535624Z,39
2021-08-23T16:25:34.917348Z,38
2021-08-23T16:25:35.315761Z,37
2021-08-23T16:25:35.738308Z,38
2021-08-23T16:25:36.124426Z,42
2021-08-23T16:25:36.50313Z,45
2021-08-23T16:25:36.912159Z,48
2021-08-23T16:25:37.344343Z,49
2021-08-23T16:25:37.720225Z,49
2021-08-23T16:25:38.139473Z,50
2021-08-23T16:25:38.528227Z,50
2021-08-23T16:25:38.948334Z,50
2021-08-23T16:25:39.400945Z,51
2021-08-23T16:25:39.798787Z,51
2021-08-23T16:25:40.16744Z,53
2021-08-23T16:25:40.623833Z,53
2021-08-23T16:25:41.015278Z,52
2021-08-23T16:25:41.398532Z,50
2021-08-23T16:25:41.788895Z,48
2021-08-23T16:25:42.186534Z,48
2021-08-23T16:25:42.573146Z,49
2021-08-23T16:25:42.949804Z,50
2021-08-23T16:25:43.375346Z,50
2021-08-23T16:25:43.761052Z,51
2021-08-23T16:25:44.167899Z,53
2021-08-23T16:25:44.539983Z,52
2021-08-23T16:25:44.959328Z,51
2021-08-23T16:25:45.378161Z,50
2021-08-23T16:25:45.837943Z,50
2021-08-23T16:25:46.230901Z,49
2021-08-23T16:25:46.642686Z,49
2021-08-23T16:25:47.037223Z,48
2021-08-23T16:25:47.456218Z,48
2021-08-23T16:25:47.836645Z,47
2021-08-23T16:25:48.243214Z,47
2021-08-23T16:25:48.65631Z,46
2021-08-23T16:25:49.061026Z,45
2021-08-23T16:25:49.435237Z,44
2021-08-23T16:25:49.81322Z,43
2021-08-23T16:25:50.202104Z,43
2021-08-23T16:25:50.611196Z,42
2021-08-23T16:25:51.025453Z,42
2021-08-23T16:25:51.422952Z,41
2021-08-23T16:25:51.830335Z,40
2021-08-23T16:25:52.244801Z,39
2021-08-23T16:25:52.660624Z,39
2021-08-23T16:25:53.057278Z,38
2021-08-23T16:25:53.48597Z,37
2021-08-23T16:25:53.869216Z,36
2021-08-23T16:25:54.291639Z,35
2021-08-23T16:25:54.749465Z,35
2021-08-23T16:25:55.162498Z,35
